value,extra,year,organization_name,budget_type_name,budget_type_id,organization_id,id
"TND658,536.000",,2015, وزارة التكوين المهني و التشغيل ,ميزانية الوزارة,,,1
TND70.000,,2015,الهيئة العليا المستقلة للانتخابات,ميزانية الوزارة,,,2
"TND53,929.000",,2015,وزارة أملاك الدولة والشؤون العقارية ,ميزانية الوزارة,,,3
"TND1,294.969",,2015,وزارة التجهيز والإسكان والتهيئة الترابية,ميزانية الوزارة,,,4
"TND3,820,209.000",,2015,وزارة التربية ,ميزانية الوزارة,,,5
"TND1,391,004.00",,2015,وزارة التعليم العالي و البحث العلمي ,ميزانية الوزارة,,,6
"TND475,529.00",,2015,وزارة التنمیة و الإستثمار و التعاون الدولي,ميزانية الوزارة,,,7
"TND149,495.000",,2015,وزارة السياحة والصناعات التقليدية,ميزانية الوزارة,,,8
"TND732,198.000",,2015,وزارة الشؤون الاجتماعية ,ميزانية الوزارة,,,9
"TND429,212.00",,2015,وزارة الشؤون الدينية,ميزانية الوزارة,,,10
"TND500,839.000",,2015,وزارة الشباب والرياضة,ميزانية الوزارة,,,11
"TND1,599,413.000",,2015,وزارة الصحة ,ميزانية الوزارة,,,12
"TND1,478,222.00",,2015,وزارة الصناعة ,ميزانية الوزارة,,,13
"TND860,685.00",,2015,وزارة المالية ,ميزانية الوزارة,,,14
"TND591,071.000",,2015,وزارة المرأة,ميزانية الوزارة,,,15
"TND688,175.000",,2015,وزارة النقل ,ميزانية الوزارة,,,16
"TND1,588,688.000",,2015,وزارة تجارة ,ميزانية الوزارة,,,17
"TND192,957.000",,2015,وزارة شؤون ثقافية ,ميزانية الوزارة,,,18
"TND1,135.41",,2015,وزارة فلاحة,ميزانية الوزارة,,,19
TND1.359,,2016, وزارة التكوين المهني و التشغيل ,الاسنثمارات المباشرة ,,,20
TND11.953,,2016, وزارة التكوين المهني و التشغيل ,التمويل العمومي,,,21
TND330.00,,2016, وزارة التكوين المهني و التشغيل ,الصندوق الوطني للتشغيل ,,,22
TND367.00,,2016, وزارة التكوين المهني و التشغيل ,صناديق الخزينة ,,,23
TND37.00,,2016, وزارة التكوين المهني و التشغيل ,صندوق النهوض بالتكوين و التدريب,,,24
TND9.425,,2016, وزارة التكوين المهني و التشغيل ,مشاريع بصدد الانجاز ,,,25
TND0.120,,2016, وزارة التكوين المهني و التشغيل ,مشاريع جديدة ,,,26
TND659.447,,2016, وزارة التكوين المهني و التشغيل ,ميزانية الوزارة,,,27
TND659.447,,2016, وزارة التكوين المهني و التشغيل ,ميزانية الوزارة,,,28
TND279.135,,2016, وزارة التكوين المهني و التشغيل ,نفقات التصرف,,,29
TND13.312,,2016, وزارة التكوين المهني و التشغيل ,نفقات التنمية ,,,30
TND68.000,,2016,الهيئة العليا المستقلة للانتخابات,ميزانية الوزارة,,,31
TND65.809,,2016,رئاسة الجمهورية ,التأجير العمومي,,,32
TND5.588,,2016,رئاسة الجمهورية ,التدخل العمومي,,,33
TND90.64,,2016,رئاسة الجمهورية ,نفقات التصرف,,,34
TND6.30,,2016,رئاسة الجمهورية ,نفقات التنمية ,,,35
TND19.242,,2016,رئاسة الجمهورية ,وسائل المصالح,,,36
TND11.00,,2016,وزارة أملاك الدولة والشؤون العقارية ,صناديق الخزينة ,,,37
TND5.000,,2016,وزارة أملاك الدولة والشؤون العقارية ,صندوق دعم تحديد الرصيد العقاري ,,,38
TND6.00,,2016,وزارة أملاك الدولة والشؤون العقارية ,صندوق ضمان ضحايا حوادث المرور,,,39
TND3.529,,2016,وزارة أملاك الدولة والشؤون العقارية ,على الموارد العامة للميزانية (ا م),,,40
TND1.350,,2016,وزارة أملاك الدولة والشؤون العقارية ,مشاريع بصدد الانجاز (ا م),,,41
TND2.179,,2016,وزارة أملاك الدولة والشؤون العقارية ,مشاريع جديدة (ا م),,,42
TND52.303,,2016,وزارة أملاك الدولة والشؤون العقارية ,ميزانية الوزارة,,,43
"TND52,303.000",,2016,وزارة أملاك الدولة والشؤون العقارية ,ميزانية الوزارة,,,44
TND37.774,,2016,وزارة أملاك الدولة والشؤون العقارية ,نفقات التصرف,,,45
TND3.529,,2016,وزارة أملاك الدولة والشؤون العقارية ,نفقات التنمية ,,,46
TND20.000,,2016,وزارة البيئة و التنمية المستدامة ,صناديق الخزينة ,,,47
TND2.000,,2016,وزارة البيئة و التنمية المستدامة ,صندوق سلامة البيئة وجمالية المحيط,,,48
TND18.000,,2016,وزارة البيئة و التنمية المستدامة ,صندوق مقاومة التلوث,,,49
TND4.200,,2016,وزارة البيئة و التنمية المستدامة ,على الموارد الخارجية الموظفة,,,50
TND110.438,,2016,وزارة البيئة و التنمية المستدامة ,على الموارد العامة للميزانية,,,51
TND4.530,,2016,وزارة البيئة و التنمية المستدامة ,على الموارد العامة للميزانية (ا م),,,52
TND109.937,,2016,وزارة البيئة و التنمية المستدامة ,مشاريع بصدد الانجاز ,,,53
TND2.420,,2016,وزارة البيئة و التنمية المستدامة ,مشاريع بصدد الانجاز (ا م),,,54
TND4.701,,2016,وزارة البيئة و التنمية المستدامة ,مشاريع جديدة ,,,55
TND2.110,,2016,وزارة البيئة و التنمية المستدامة ,مشاريع جديدة (ا م),,,56
TND182.372,,2016,وزارة البيئة و التنمية المستدامة ,ميزانية الوزارة,,,57
TND43.204,,2016,وزارة البيئة و التنمية المستدامة ,نفقات التصرف,,,58
TND119.168,,2016,وزارة البيئة و التنمية المستدامة ,نفقات التنمية ,,,59
TND18.000,,2016,وزارة التجهيز والإسكان والتهيئة الترابية,صناديق الخزينة ,,,60
TND10.00,,2016,وزارة التجهيز والإسكان والتهيئة الترابية,صندوق النهوض بالمسكن لفائدة الاجراء  ,,,61
TND8.00,,2016,وزارة التجهيز والإسكان والتهيئة الترابية,صندوق الوطني لتحسين السكن ,,,62
TND278.061,,2016,وزارة التجهيز والإسكان والتهيئة الترابية,على الموارد الخارجية الموظفة (ا م),,,63
TND1.900,,2016,وزارة التجهيز والإسكان والتهيئة الترابية,على الموارد العامة للميزانية,,,64
